iter	RMSE
0	1539.592768
50	1254.514666
100	1066.928629
150	931.1265677
200	829.9938645
250	754.3524273
300	695.0782119
350	648.5338968
400	608.2784192
450	571.9601635
500	541.7163815
550	513.6463674
600	490.3887474
650	467.4091421
700	445.9847486
750	426.855346
800	410.1785301
850	395.3984585
900	382.7807418
950	372.1291046
1000	361.1978796
1050	353.3033907
1100	345.5273887
1150	339.2712769
1200	333.8140005
1250	328.5052969
1300	322.6351865
1350	317.5632346
1400	311.8378479
1450	306.0327951
1499	300.3147618
