iter	Passed	Remaining
0	0	865
1	6	4729
2	11	5601
3	15	5837
4	19	5912
5	24	6005
6	28	6144
7	30	5676
8	35	5848
9	40	5983
10	40	5526
11	41	5140
12	42	4870
13	47	5025
14	52	5157
15	52	4907
16	57	5002
17	61	5093
18	64	5010
19	65	4812
20	69	4886
21	73	4967
22	78	5043
23	82	5102
24	87	5157
25	91	5200
26	95	5233
27	96	5075
28	100	5113
29	105	5156
30	109	5195
31	113	5227
32	114	5092
33	115	4964
34	119	5007
35	121	4929
36	125	4973
37	130	5008
38	130	4898
39	132	4829
40	136	4862
41	137	4780
42	142	4820
43	146	4856
44	151	4890
45	155	4921
46	156	4837
47	160	4868
48	165	4900
49	169	4929
50	174	4953
51	176	4919
52	181	4942
53	182	4887
54	186	4909
55	191	4934
56	195	4956
57	197	4915
58	202	4946
59	203	4883
60	205	4836
61	209	4861
62	211	4818
63	216	4847
64	220	4865
65	225	4890
66	225	4827
67	230	4849
68	234	4868
69	239	4890
70	244	4910
71	248	4930
72	253	4948
73	257	4964
74	262	4979
75	263	4942
76	268	4957
77	270	4923
78	271	4884
79	276	4903
80	278	4886
81	283	4901
82	288	4919
83	292	4933
84	297	4948
85	301	4959
86	306	4973
87	307	4927
88	311	4938
89	316	4951
90	320	4964
91	325	4980
92	329	4989
93	334	5001
94	338	5011
95	343	5020
96	345	5001
97	346	4953
98	350	4960
99	355	4970
100	359	4982
101	361	4953
102	366	4966
103	370	4979
104	373	4962
105	374	4929
106	379	4939
107	384	4949
108	388	4960
109	393	4975
110	398	4986
111	403	4995
112	407	5003
113	412	5009
114	416	5020
115	421	5026
116	426	5036
117	430	5044
118	435	5052
119	439	5059
120	444	5065
121	445	5037
122	448	5019
123	449	4987
124	454	4994
125	458	5001
126	463	5009
127	468	5016
128	472	5022
129	477	5030
130	482	5038
131	483	5010
132	487	5014
133	492	5023
134	497	5029
135	501	5033
136	503	5005
137	507	5012
138	510	4997
139	514	5001
140	519	5006
141	524	5012
142	526	4995
143	531	5001
144	535	5004
145	537	4982
146	541	4986
147	546	4992
148	548	4976
149	553	4979
150	553	4948
151	556	4932
152	560	4937
153	565	4940
154	566	4912
155	570	4917
156	575	4922
157	580	4926
158	580	4899
159	585	4902
160	589	4905
161	594	4909
162	599	4914
163	601	4900
164	606	4904
165	610	4907
166	615	4910
167	619	4914
168	620	4890
169	622	4869
170	623	4849
171	625	4826
172	629	4830
173	634	4832
174	638	4835
175	643	4838
176	644	4816
177	645	4794
178	646	4772
179	651	4774
180	655	4778
181	660	4781
182	662	4769
183	667	4772
184	671	4774
185	676	4779
186	681	4782
187	682	4765
188	687	4768
189	691	4769
190	696	4771
191	701	4776
192	705	4780
193	707	4763
194	712	4767
195	717	4770
196	721	4772
197	726	4774
198	730	4776
199	735	4779
200	740	4782
201	744	4785
202	749	4787
203	749	4763
204	750	4740
205	754	4742
206	759	4743
207	763	4744
208	768	4747
